dates,dpsNetEquity,netEquity,CAR25,dd95,ddTol,dpsCommission,dpsNetPNL,dpsRunName,dpsSafef,gainAhead,is_period,netPNL,nodpsComm,nodpsSafef,signalType,signals,v4.0_system,RS_netEquity,safef,cycleTime,timestamp,v4.3_system,v4.5_system
2016-05-16 11:10:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 08:21:47 ,,
2016-05-16 11:10:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 08:21:48 ,,
2016-05-16 11:20:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 08:31:48 ,,
2016-05-16 11:30:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 08:41:48 ,,
2016-05-16 11:30:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 08:41:48 ,,
2016-05-16 11:40:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 08:51:45 ,,
2016-05-16 11:50:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 09:01:45 ,,
2016-05-16 12:00:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 09:11:44 ,,
2016-05-16 12:10:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 09:21:42 ,,
2016-05-16 12:20:00,,,,,,,,,,,,,,,,1.0,,,1.0,,20160516 09:32:03 ,,
2016-05-16 12:30:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 09:41:42 ,,
2016-05-16 12:30:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 09:41:42 ,,
2016-05-16 12:40:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 09:56:53 ,,
2016-05-16 12:40:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 09:56:53 ,,
2016-05-16 12:50:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 10:01:45 ,,
2016-05-16 13:00:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:11:47 ,,
2016-05-16 13:00:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:11:47 ,,
2016-05-16 13:00:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:13:03 ,,
2016-05-16 13:10:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:23:07 ,,
2016-05-16 13:10:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:23:07 ,,
2016-05-16 13:20:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:31:45 ,,
2016-05-16 13:20:00,,,,,,,,,,,,,,,,0.0,,,0.0,,20160516 10:31:46 ,,
2016-05-16 13:30:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 10:41:57 ,,
2016-05-16 13:30:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 10:45:16 ,,
2016-05-16 13:30:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 10:47:44 ,,
2016-05-16 13:40:00,,,,,,,,,,,,,,,,-1.0,,,1.0,,20160516 10:51:40 ,,
