dates,signals,safef
2016-03-22 14:35:00,1,1
2016-03-22 14:36:00,1,1
2016-03-22 14:38:00,1,1
2016-03-22 14:39:00,1,1
2016-03-22 14:41:00,1,1
2016-03-22 14:42:00,1,1
2016-03-22 14:42:00,1,1
2016-03-22 14:46:00,1,1
2016-03-22 14:48:00,1,1
2016-03-22 14:49:00,1,1
2016-03-22 14:49:00,1,1
2016-03-22 14:52:00,1,1
2016-03-22 14:54:00,1,1
2016-03-22 14:55:00,1,1
2016-03-22 14:57:00,1,1
2016-03-22 14:58:00,1,1
2016-03-22 14:58:00,1,1
2016-03-22 15:02:00,1,1
2016-03-22 15:02:00,1,1
2016-03-22 15:05:00,1,1
2016-03-22 15:07:00,1,1
2016-03-22 15:07:00,1,1
2016-03-22 15:10:00,1,1
2016-03-22 15:10:00,1,1
2016-03-22 15:13:00,1,1
2016-03-22 15:13:00,1,1
2016-03-22 15:13:00,1,1
2016-03-22 15:18:00,1,1
2016-03-22 15:20:00,1,1
2016-03-22 15:21:00,1,1
2016-03-22 15:23:00,1,1
2016-03-22 15:24:00,1,1
2016-03-22 15:25:00,1,1
2016-03-22 15:27:00,1,1
2016-03-22 15:27:00,1,1
