,price_diff,profit,total,returns,accuracy,equity
2016-06-01 07:00:00,3.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 07:30:00,-1.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 08:00:00,-6.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 08:30:00,0.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 09:00:00,4.5,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 09:30:00,-5.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 10:00:00,-6.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 10:30:00,4.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 11:00:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 11:30:00,-8.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 12:00:00,-1.0,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 12:30:00,0.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 13:00:00,-1.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 13:30:00,0.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 14:00:00,-3.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 14:30:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 15:00:00,1.0,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 15:30:00,-2.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 16:00:00,-3.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 16:30:00,-0.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 17:00:00,10.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 17:30:00,6.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 18:00:00,-3.75,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 18:30:00,1.75,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 19:00:00,1.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 19:30:00,4.25,0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 20:00:00,-4.5,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 20:30:00,-4.25,-0.0,27450.0,0.0,0.980879934704,27450.0
2016-06-01 21:00:00,7.75,0.0,27450.0,0.0,0.980879934704,27450.0
