,signals,gainAhead,safef,trade,numBars,equity,maxEquity,drawdown,maxDD
2016-03-24 01:49:00,-1.0,-8.64733986208e-05,0.0,-0.0,201.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:50:00,-1.0,1.29721315375e-05,0.0,0.0,202.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:51:00,-1.0,-0.000116747669371,1.0,-0.0,203.0,1.00170857892,1.0023132158,0.000603241453729,0.00124693264815
2016-03-24 01:52:00,-1.0,-0.000160006227269,1.0,0.000116947141977,204.0,1.00182552606,1.0023132158,0.000486564211393,0.00124693264815
2016-03-24 01:53:00,-1.0,-4.75770315392e-05,1.0,0.000160298322807,205.0,1.00198582438,1.0023132158,0.000326635837427,0.00124693264815
2016-03-24 01:54:00,-1.0,0.000194642571358,1.0,4.76715111684e-05,206.0,1.00203349589,1.0023132158,0.000279074346252,0.00124693264815
2016-03-24 01:55:00,-1.0,-1.72981949333e-05,1.0,-0.000195038376227,207.0,1.00183845752,1.0023132158,0.000473662597861,0.00124693264815
2016-03-24 01:56:00,-1.0,-7.78432237475e-05,1.0,1.73299969298e-05,208.0,1.00185578751,1.0023132158,0.000456372596436,0.00124693264815
2016-03-24 01:57:00,-1.0,-0.000211923050308,1.0,7.79876842301e-05,209.0,1.0019337752,1.0023132158,0.000378564898203,0.00124693264815
2016-03-24 01:58:00,-1.0,0.000186012709427,1.0,0.000212332861846,210.0,1.00214610806,1.0023132158,0.000166722074523,0.00124693264815
2016-03-24 01:59:00,-1.0,-3.46005795597e-05,1.0,-0.000186411912801,211.0,1.00195969615,1.0023132158,0.000352703771524,0.00124693264815
2016-03-24 02:00:00,-1.0,-0.00027248899231,1.0,3.46683861822e-05,212.0,1.00199436453,1.0023132158,0.00031811539572,0.00124693264815
2016-03-24 02:01:00,-1.0,-2.1632004984e-05,1.0,0.000273032434691,213.0,1.00226739697,1.0023132158,4.57130863535e-05,0.00124693264815
2016-03-24 02:02:00,-1.0,6.05709242257e-05,1.0,2.16810533265e-05,214.0,1.00228907802,1.0023132158,2.40820702352e-05,0.00124693264815
2016-03-24 02:03:00,-1.0,0.000112482046135,1.0,-6.0709575797e-05,215.0,1.00222836844,1.0023132158,8.46515357876e-05,0.00124693264815
2016-03-24 02:04:00,-1.0,0.000142749617171,1.0,-0.000112732697577,216.0,1.00211563575,1.0023132158,0.000197124060145,0.00124693264815
2016-03-24 02:05:00,-1.0,-4.75764142089e-05,1.0,-0.000143051623364,217.0,1.00197258412,1.0023132158,0.000339845537932,0.00124693264815
2016-03-24 02:06:00,-1.0,0.00015571203654,1.0,4.76702626882e-05,218.0,1.00202025439,1.0023132158,0.000292285292355,0.00124693264815
2016-03-24 02:07:00,-1.0,-5.62205923056e-05,1.0,-0.000156026614465,219.0,1.00186422777,1.0023132158,0.000447951816557,0.00124693264815
2016-03-24 02:08:00,-1.0,-0.000211920300667,1.0,5.63254002951e-05,220.0,1.00192055317,1.0023132158,0.000391756408368,0.00124693264815
