permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,balance,margin_available
100,Paper,Paper,2.0,USD,IDEALPRO,100.0,,,1.0,113.681,50000.0,-25000.0,13.50364948,SLD,USD,JPY,20160316 13:50:34 EST,,9865.17693656,4595916.03313
101,Paper,Paper,2.0,USD,IDEALPRO,101.0,,,1.0,0.98959,50000.0,-25000.0,79.1617169883,SLD,USD,CHF,20160316 13:51:28 EST,,9944.33865355,4645918.02131
102,Paper,Paper,2.0,USD,IDEALPRO,102.0,,,1.0,1.10668,50000.0,-25000.0,-88.890093,SLD,EUR,USD,20160316 13:52:14 EST,,9855.44856055,4701338.9114
103,Paper,Paper,2.0,USD,IDEALPRO,103.0,,,1.0,1.33611,50000.0,25000.0,-78.8997442161,BOT,USD,CAD,20160316 13:52:24 EST,,9776.54881633,4751269.3421
104,Paper,Paper,2.0,USD,IDEALPRO,104.0,,,1.0,0.98959,50000.0,25000.0,-72.2411056628,BOT,USD,CHF,20160316 13:52:28 EST,,9704.30771067,4801352.492
105,Paper,Paper,2.0,USD,IDEALPRO,105.0,,,1.0,113.681,50000.0,25000.0,-15.96788316,BOT,USD,JPY,20160316 13:52:34 EST,,9688.33982751,4851372.132
106,Paper,Paper,2.0,USD,IDEALPRO,106.0,,,1.0,1.33611,50000.0,-25000.0,75.4529812808,SLD,USD,CAD,20160316 13:53:23 EST,,9763.79280879,4901225.10972
107,Paper,Paper,2.0,USD,IDEALPRO,107.0,,,1.0,113.681,50000.0,-25000.0,10.86929424,SLD,USD,JPY,20160316 13:53:33 EST,,9774.66210303,4951231.88043
108,Paper,Paper,2.0,USD,IDEALPRO,108.0,,,1.0,1.33611,50000.0,25000.0,-66.9315936357,BOT,USD,CAD,20160316 13:54:21 EST,,9707.73050939,5001162.31113
109,Paper,Paper,2.0,USD,IDEALPRO,109.0,,,1.0,113.681,50000.0,25000.0,-15.38309808,BOT,USD,JPY,20160316 13:54:32 EST,,9692.34741131,5051181.95113
110,Paper,Paper,2.0,USD,IDEALPRO,110.0,,,1.0,1.10668,50000.0,25000.0,98.9633645,BOT,EUR,USD,20160316 13:55:11 EST,,9791.31077581,5106515.95113
111,Paper,Paper,2.0,USD,IDEALPRO,111.0,,,1.0,1.33611,50000.0,-25000.0,72.7092646698,SLD,USD,CAD,20160316 13:55:21 EST,,9864.02004048,5156371.67257
112,Paper,Paper,2.0,USD,IDEALPRO,112.0,,,1.0,1.10668,50000.0,-25000.0,-103.3211215,SLD,EUR,USD,20160316 13:56:16 EST,,9760.69891898,5211806.99369
113,Paper,Paper,2.0,USD,IDEALPRO,113.0,,,1.0,1.33611,50000.0,25000.0,-83.7054880987,BOT,USD,CAD,20160316 13:56:27 EST,,9676.99343088,5261737.42439
114,Paper,Paper,2.0,USD,IDEALPRO,114.0,,,1.0,0.98959,50000.0,-25000.0,88.8937019045,SLD,USD,CHF,20160316 13:57:30 EST,,9765.88713278,5311729.68059
115,Paper,Paper,2.0,USD,IDEALPRO,115.0,,,1.0,1.33611,50000.0,-25000.0,70.826562575,SLD,USD,CAD,20160316 13:58:26 EST,,9836.71369536,5361587.28473
116,Paper,Paper,2.0,USD,IDEALPRO,116.0,,,1.0,0.98959,50000.0,25000.0,-79.8713006517,BOT,USD,CHF,20160316 13:58:30 EST,,9756.84239471,5411670.43463
117,Paper,Paper,2.0,USD,IDEALPRO,117.0,,,1.0,125.802,50000.0,25000.0,78.66666652,BOT,EUR,JPY,20160316 13:58:42 EST,,9835.50906123,5467023.31463
118,Paper,Paper,2.0,USD,IDEALPRO,118.0,,,1.0,0.98959,50000.0,-25000.0,81.6525002341,SLD,USD,CHF,20160316 13:59:33 EST,,9917.16156146,5517022.81203
119,Paper,Paper,2.0,USD,IDEALPRO,119.0,,,1.0,113.681,50000.0,-25000.0,-14.55230064,SLD,USD,JPY,20160316 13:59:37 EST,,9902.60926082,5567055.00433
120,Paper,Paper,2.0,USD,IDEALPRO,120.0,,,1.0,0.98959,50000.0,25000.0,-213.429766745,BOT,USD,CHF,20160316 14:01:03 EST,,9689.17949408,5617138.15423
121,Paper,Paper,2.0,USD,IDEALPRO,121.0,,,1.0,113.681,50000.0,25000.0,-76.13589964,BOT,USD,JPY,20160316 14:01:19 EST,,9613.04359444,5667157.79423
122,Paper,Paper,2.0,USD,IDEALPRO,122.0,,,1.0,1.10668,50000.0,25000.0,351.773707,BOT,EUR,USD,20160316 14:02:18 EST,,9964.81730144,5722491.79423
123,Paper,Paper,2.0,USD,IDEALPRO,123.0,,,1.0,1.33611,50000.0,25000.0,-362.854654067,BOT,USD,CAD,20160316 14:02:23 EST,,9601.96264737,5772422.22493
124,Paper,Paper,2.0,USD,IDEALPRO,124.0,,,1.0,0.98959,50000.0,-25000.0,337.721788932,SLD,USD,CHF,20160316 14:02:28 EST,,9939.6844363,5822165.65304
125,Paper,Paper,2.0,USD,IDEALPRO,125.0,,,1.0,113.681,50000.0,-25000.0,193.13863336,SLD,USD,JPY,20160316 14:02:40 EST,,10132.8230697,5871990.15441
126,Paper,Paper,2.0,USD,IDEALPRO,126.0,,,1.0,1.10668,50000.0,-25000.0,-405.924569,SLD,EUR,USD,20160316 14:03:30 EST,,9726.8985007,5927728.07898
127,Paper,Paper,2.0,USD,IDEALPRO,127.0,,,1.0,1.33611,50000.0,-25000.0,463.832817898,SLD,USD,CAD,20160316 14:03:49 EST,,10190.7313186,5977192.67686
