permid,account,clientid,commission,commission_currency,exchange,execid,expiry,level_0,orderid,price,qty,openqty,realized_PnL,side,symbol,symbol_currency,times,yield_redemption_date,PurePL,balance,margin_available,openprice,purebalance,real_pnl
287,Paper,Paper,2.0,USD,IDEALPRO,287.0,,,1.0,0.67047,20000.0,-10000.0,-5.8,SLD,NZD,USD,20160323 15:55:35 EST,,-3.8,19080.92823,251501.29609,0.67047,19654.92823,-5.8
288,Paper,Paper,2.0,USD,IDEALPRO,288.0,,,1.0,85.099,20000.0,10000.0,-7.456,BOT,CAD,JPY,20160323 16:00:10 EST,,-5.456,19073.47223,251501.29609,85.099,19649.47223,-7.456
289,Paper,Paper,2.0,USD,IDEALPRO,289.0,,,1.0,112.436,20000.0,10000.0,24.4,BOT,USD,JPY,20160323 16:10:33 EST,,26.4,19097.87223,251501.29609,112.436,19675.87223,24.4
290,Paper,Paper,2.0,USD,IDEALPRO,290.0,,,1.0,1.11782,20000.0,-10000.0,-2.7,SLD,EUR,USD,20160323 16:15:39 EST,,-0.7,19095.17223,251501.29609,1.11782,19675.17223,-2.7
291,Paper,Paper,2.0,USD,IDEALPRO,291.0,,,1.0,85.048,20000.0,-10000.0,-6.488,SLD,CAD,JPY,20160323 16:25:52 EST,,-4.488,19088.68423,251501.29609,85.048,19670.68423,-6.488
292,Paper,Paper,2.0,USD,IDEALPRO,292.0,,,1.0,112.385,20000.0,-10000.0,-6.488,SLD,USD,JPY,20160323 16:36:05 EST,,-4.488,19082.19623,251501.29609,112.385,19666.19623,-6.488
293,Paper,Paper,2.0,USD,IDEALPRO,293.0,,,1.0,1.1182,20000.0,10000.0,-5.8,BOT,EUR,USD,20160323 16:41:13 EST,,-3.8,19076.39623,251501.29609,1.1182,19662.39623,-5.8
294,Paper,Paper,2.0,USD,IDEALPRO,294.0,,,1.0,1.41151,20000.0,-10000.0,1.2,SLD,GBP,USD,20160323 16:41:14 EST,,3.2,19077.59623,251501.29609,1.41151,19665.59623,1.2
295,Paper,Paper,2.0,USD,IDEALPRO,295.0,,,1.0,85.092,20000.0,10000.0,-5.872,BOT,CAD,JPY,20160323 16:56:47 EST,,-3.872,19071.72423,251501.29609,85.092,19661.72423,-5.872
296,Paper,Paper,2.0,USD,IDEALPRO,296.0,,,1.0,1.11789,20000.0,-10000.0,-5.1,SLD,EUR,USD,20160323 17:17:14 EST,,-3.1,19066.62423,251501.29609,1.11789,19658.62423,-5.1
297,Paper,Paper,2.0,USD,IDEALPRO,297.0,,,1.0,1.41165,20000.0,10000.0,-3.4,BOT,GBP,USD,20160323 17:17:14 EST,,-1.4,19063.22423,251501.29609,1.41165,19657.22423,-3.4
298,Paper,Paper,2.0,USD,IDEALPRO,298.0,,,1.0,0.9756,20000.0,10000.0,-10.70492,BOT,USD,CHF,20160323 17:17:15 EST,,-8.70492,19052.51931,251501.29609,0.9756,19648.51931,-10.70492
299,Paper,Paper,2.0,USD,IDEALPRO,299.0,,,1.0,0.79205,20000.0,10000.0,0.679949999999,BOT,EUR,GBP,20160323 17:17:17 EST,,2.67995,19053.19926,251501.29609,0.79205,19651.19926,0.679949999999
300,Paper,Paper,2.0,USD,IDEALPRO,300.0,,,1.0,158.631,20000.0,10000.0,-5.168,BOT,GBP,JPY,20160323 17:17:19 EST,,-3.168,19048.03126,251501.29609,158.631,19648.03126,-5.168
301,Paper,Paper,2.0,USD,IDEALPRO,301.0,,,1.0,84.594,20000.0,10000.0,1.168,BOT,AUD,JPY,20160323 17:17:51 EST,,3.168,19049.19926,251501.29609,84.594,19651.19926,1.168
302,Paper,Paper,2.0,USD,IDEALPRO,302.0,,,1.0,112.362,20000.0,10000.0,0.0240000000009,BOT,USD,JPY,20160323 17:27:31 EST,,2.024,19049.22326,251501.29609,112.362,19653.22326,0.0240000000009
303,Paper,Paper,2.0,USD,IDEALPRO,303.0,,,1.0,1.11814,20000.0,10000.0,-4.5,BOT,EUR,USD,20160323 17:32:34 EST,,-2.5,19044.72326,251501.29609,1.11814,19650.72326,-4.5
304,Paper,Paper,2.0,USD,IDEALPRO,304.0,,,1.0,1.41131,20000.0,-10000.0,-5.4,SLD,GBP,USD,20160323 17:32:36 EST,,-3.4,19039.32326,251501.29609,1.41131,19647.32326,-5.4
305,Paper,Paper,2.0,USD,IDEALPRO,305.0,,,1.0,0.9754,20000.0,-10000.0,-4.0244,SLD,USD,CHF,20160323 17:37:54 EST,,-2.0244,19035.29886,251501.29609,0.9754,19645.29886,-4.0244
306,Paper,Paper,2.0,USD,IDEALPRO,306.0,,,1.0,0.67048,20000.0,10000.0,-2.1,BOT,NZD,USD,20160323 17:38:28 EST,,-0.0999999999995,19033.19886,251501.29609,0.67048,19645.19886,-2.1
307,Paper,Paper,2.0,USD,IDEALPRO,307.0,,,1.0,75.393,20000.0,10000.0,1.784,BOT,NZD,JPY,20160323 17:48:38 EST,,3.784,19034.98286,251501.29609,75.393,19648.98286,1.784
308,Paper,Paper,2.0,USD,IDEALPRO,308.0,,,1.0,85.064,20000.0,-10000.0,-4.464,SLD,CAD,JPY,20160323 17:48:38 EST,,-2.464,19030.51886,251501.29609,85.064,19646.51886,-4.464
309,Paper,Paper,2.0,USD,IDEALPRO,309.0,,,1.0,112.373,20000.0,-10000.0,-1.032,SLD,USD,JPY,20160323 17:53:50 EST,,0.968,19029.48686,251501.29609,112.373,19647.48686,-1.032
310,Paper,Paper,2.0,USD,IDEALPRO,310.0,,,1.0,84.65,20000.0,-10000.0,2.928,SLD,AUD,JPY,20160323 17:54:21 EST,,4.928,19032.41486,251501.29609,84.65,19652.41486,2.928
311,Paper,Paper,2.0,USD,IDEALPRO,311.0,,,1.0,1.41185,20000.0,10000.0,-7.4,BOT,GBP,USD,20160323 17:59:06 EST,,-5.4,19025.01486,251501.29609,1.41185,19647.01486,-7.4
312,Paper,Paper,2.0,USD,IDEALPRO,312.0,,,1.0,0.97536,20000.0,10000.0,-1.59512,BOT,USD,CHF,20160323 18:04:22 EST,,0.40488,19023.41974,251501.29609,0.97536,19647.41974,-1.59512
313,Paper,Paper,2.0,USD,IDEALPRO,313.0,,,1.0,0.67078,20000.0,-10000.0,1.0,SLD,NZD,USD,20160323 18:04:53 EST,,3.0,19024.41974,251501.29609,0.67078,19650.41974,1.0
314,Paper,Paper,2.0,USD,IDEALPRO,314.0,,,1.0,75.399,20000.0,-10000.0,-1.472,SLD,NZD,JPY,20160323 18:09:31 EST,,0.528,19022.94774,251501.29609,75.399,19650.94774,-1.472
